event_id,shipment_id,origin_hub,current_facility,destination_hub,event_timestamp,scan_type,actual_dwell,average_dwell,dwell_duration_seconds,avg_dwell_baseline_seconds,yard_queue_count,yard_max_capacity,weather_condition,weather_exception,traffic_congestion_level,gps_latitude,gps_longitude,sla_deadline_timestamp,carrier_id,dwell_normalized,dwell_zscore,dwell_rank,delay_risk_score
EV-010000,LGS-1000-ROUTE,HUB-DETROIT,HUB-FRANKFURT,HUB-MEMPHIS,2026-07-31T23:59:56Z,WAYPOINT_SCAN,2780,3600,2780,3600,25,30,CLEAR,False,LOW,39.6847,-17.0257,2026-08-01T23:59:56Z,CR-DHL,0.27400287261076123,-0.9257737946489358,8163,0.5072588664235996
EV-010001,LGS-1001-ROUTE,HUB-SINGAPORE,HUB-SINGAPORE,HUB-NEWYORK,2026-08-01T00:00:39Z,YARD_DEPARTURE,853,2400,853,2400,2,30,CLEAR,False,HEAVY,49.0689,-114.6925,2026-08-03T00:00:39Z,CR-UPS,0.06109822119102862,-2.1740512421001092,9854,0.05094464700033145
EV-010002,LGS-1002-ROUTE,HUB-DETROIT,HUB-FRANKFURT,HUB-MEMPHIS,2026-08-01T00:01:04Z,YARD_DEPARTURE,4140,3600,4140,3600,20,30,CLEAR,True,MODERATE,31.3552,-38.0733,2026-08-03T00:01:04Z,CR-UPS,0.4242625124295658,-0.044789192400053864,5173,0.5259860788863109
EV-010003,LGS-1003-ROUTE,HUB-DETROIT,HUB-SINGAPORE,HUB-MEMPHIS,2026-08-01T00:01:30Z,YARD_DEPARTURE,5159,4800,5159,4800,14,30,MODERATE,False,LOW,32.5247,-109.6242,2026-08-02T00:01:30Z,CR-USPS,0.5368467572643907,0.6153014764908364,2764,0.50782234007292
EV-010004,LGS-1004-ROUTE,HUB-ATLANTA,HUB-HOUSTON,HUB-SEATTLE,2026-08-01T00:01:57Z,HUB_INGEST,4313,3600,4313,3600,9,30,MODERATE,False,LOW,50.5939,-66.4523,2026-08-02T12:01:57Z,CR-UPS,0.44337642249475195,0.0672772312683701,4748,0.3803115677825654
EV-010005,LGS-1005-ROUTE,HUB-FRANKFURT,HUB-SINGAPORE,HUB-MIAMI,2026-08-01T00:02:26Z,CUSTOMS_CLEARANCE,6115,3600,6115,3600,22,30,CLEAR,False,LOW,25.7184,-76.393,2026-08-02T12:02:26Z,CR-MAERSK,0.642470445254668,1.2345818292481388,1123,0.6854822671528009
EV-010006,LGS-1006-ROUTE,HUB-MIAMI,HUB-ATLANTA,HUB-HOUSTON,2026-08-01T00:03:08Z,HUB_INGEST,6251,4800,6251,4800,14,30,SNOWSTORM,False,MODERATE,38.1055,-68.9997,2026-08-02T12:03:08Z,CR-FEDEX,0.6574964092365484,1.322680289473027,947,0.5802121312562147
EV-010007,LGS-1007-ROUTE,HUB-SINGAPORE,HUB-SEATTLE,HUB-LOSANGELES,2026-08-01T00:03:30Z,TRANSFER_ARRIVE,7765,4800,7765,4800,6,30,CLEAR,False,MODERATE,39.2767,-47.045,2026-08-04T00:03:30Z,CR-DHL,0.8247707435642471,2.303423442270679,105,0.5662910175671196
EV-010008,LGS-1008-ROUTE,HUB-NEWYORK,HUB-NEWYORK,HUB-DETROIT,2026-08-01T00:04:00Z,CUSTOMS_CLEARANCE,2631,2400,2631,2400,23,30,CLEAR,False,HEAVY,43.2446,-106.0483,2026-08-03T00:04:00Z,CR-MAERSK,0.25754060324825984,-1.02229343121885,8424,0.4688100762346702
EV-010009,LGS-1009-ROUTE,HUB-ATLANTA,HUB-CHICAGO,HUB-DETROIT,2026-08-01T00:04:23Z,YARD_DEPARTURE,3334,3600,3334,3600,5,30,CLEAR,False,MODERATE,30.2376,-94.8868,2026-08-02T12:04:23Z,CR-DHL,0.3352115788310684,-0.5669021257916707,7054,0.25826980444149816
EV-010010,LGS-1010-ROUTE,HUB-FRANKFURT,HUB-SINGAPORE,HUB-MEMPHIS,2026-08-01T00:04:57Z,YARD_DEPARTURE,4750,3600,4750,3600,20,30,CLEAR,True,LOW,40.4281,-110.761,2026-08-03T00:04:57Z,CR-DHL,0.4916583802894708,0.35035831302040055,3660,0.566423599602254
EV-010011,LGS-1011-ROUTE,HUB-ATLANTA,HUB-CHICAGO,HUB-SEATTLE,2026-08-01T00:05:22Z,YARD_DEPARTURE,5230,2400,5230,2400,27,30,CLEAR,False,MODERATE,27.9556,-36.8495,2026-08-02T12:05:22Z,CR-USPS,0.5446911943431665,0.6612940549905942,2623,0.6982432880344713
