customer_id,total_transactions,purchase_count,days_as_customer,days_since_last_purchase,total_spent
CUST-ACT-00000,83,83,701,75,67667.33
CUST-ACT-00001,141,141,940,55,64881.43
CUST-ACT-00002,37,37,607,2,7163.32
CUST-ACT-00003,102,102,189,71,15552.9
CUST-ACT-00004,46,46,126,9,66289.66
CUST-ACT-00005,104,104,413,128,34266.75
CUST-ACT-00006,74,74,547,134,60290.83
CUST-ACT-00007,106,106,697,68,55150.05
CUST-ACT-00008,111,111,560,175,69441.31
CUST-ACT-00009,28,28,415,104,60381.0
CUST-ACT-00010,37,37,355,127,46131.0
CUST-ACT-00011,36,36,124,148,18602.59
CUST-ACT-00012,39,39,476,22,59227.09
CUST-ACT-00013,120,120,951,125,21767.28
CUST-ACT-00014,14,14,740,101,35123.62
CUST-ACT-00015,22,22,278,88,9129.11
CUST-ACT-00016,55,55,338,173,48948.8
CUST-ACT-00017,28,28,800,132,6757.26
CUST-ACT-00018,121,121,421,58,21748.34
CUST-ACT-00019,101,101,297,93,2692.47
CUST-ACT-00020,106,106,78,25,58199.42
CUST-ACT-00021,69,69,345,2,47392.83
CUST-ACT-00022,18,18,588,113,26384.45
CUST-ACT-00023,42,42,758,81,8018.81
CUST-ACT-00024,88,88,951,13,48415.46
CUST-ACT-00025,141,141,617,39,53397.3
CUST-ACT-00026,92,92,695,54,45242.93
CUST-ACT-00027,140,140,468,84,48104.69
CUST-ACT-00028,66,66,541,133,25605.18
CUST-ACT-00029,26,26,155,107,16600.78
CUST-ACT-00030,54,54,481,158,33803.31
CUST-ACT-00031,10,10,559,60,16848.38
CUST-ACT-00032,121,121,873,19,68443.3
CUST-ACT-00033,78,78,32,58,15186.74
CUST-ACT-00034,42,42,416,121,26772.91
CUST-ACT-00035,106,106,602,56,58613.72
CUST-ACT-00036,27,27,392,46,13598.57
CUST-ACT-00037,81,81,592,63,49574.46
CUST-ACT-00038,63,63,234,61,56457.76
CUST-ACT-00039,37,37,624,27,49768.37
CUST-ACT-00040,139,139,424,20,71762.32
CUST-ACT-00041,40,40,883,29,63080.1
CUST-ACT-00042,18,18,162,61,30187.79
CUST-ACT-00043,78,78,746,74,34949.37
CUST-ACT-00044,125,125,600,85,33650.37
CUST-ACT-00045,42,42,201,34,37187.09
CUST-ACT-00046,117,117,430,158,54240.79
CUST-ACT-00047,104,104,170,170,53630.66
CUST-ACT-00048,89,89,465,63,17268.13
CUST-ACT-00049,73,73,464,12,58005.45
CUST-ACT-00050,24,24,825,14,6257.89
CUST-ACT-00051,114,114,978,122,58166.43
CUST-ACT-00052,37,37,512,170,21019.08
CUST-ACT-00053,47,47,506,135,50804.85
CUST-ACT-00054,50,50,984,160,37332.54
CUST-ACT-00055,101,101,289,27,19217.18
CUST-ACT-00056,138,138,848,124,43066.59
CUST-ACT-00057,78,78,823,148,15819.98
CUST-ACT-00058,15,15,613,104,32978.54
CUST-ACT-00059,15,15,595,90,65938.74
CUST-ACT-00060,104,104,353,165,23649.39
CUST-ACT-00061,118,118,629,158,74195.81
CUST-ACT-00062,61,61,186,49,10908.64
CUST-ACT-00063,101,101,400,31,37932.58
CUST-ACT-00064,54,54,744,162,5074.19
CUST-ACT-00065,70,70,317,159,68875.48
CUST-ACT-00066,32,32,396,51,36326.71
CUST-ACT-00067,105,105,436,10,31064.33
CUST-ACT-00068,37,37,454,29,53615.16
CUST-ACT-00069,19,19,782,27,26102.09
CUST-ACT-00070,126,126,759,163,21805.9
CUST-ACT-00071,102,102,856,35,51471.13
CUST-ACT-00072,121,121,645,169,4982.71
CUST-ACT-00073,32,32,943,102,3631.05
CUST-ACT-00074,112,112,44,90,14807.03
CUST-ACT-00075,68,68,290,105,4860.53
CUST-ACT-00076,134,134,582,19,51999.81
CUST-ACT-00077,78,78,735,159,31184.54
CUST-ACT-00078,20,20,220,1,73296.3
CUST-ACT-00079,58,58,586,159,21189.17
CUST-ACT-00080,45,45,536,136,37024.74
CUST-ACT-00081,113,113,262,33,9109.63
CUST-ACT-00082,27,27,35,112,39527.35
CUST-ACT-00083,140,140,640,176,17405.44
CUST-ACT-00084,108,108,712,48,44153.15
CUST-ACT-00085,53,53,520,118,43240.68
CUST-ACT-00086,111,111,325,132,71199.93
CUST-ACT-00087,15,15,962,50,30173.33
CUST-ACT-00088,65,65,493,1,26667.95
CUST-ACT-00089,77,77,212,158,48144.22
CUST-ACT-00090,78,78,627,100,2128.68
CUST-ACT-00091,15,15,206,54,36520.03
CUST-ACT-00092,44,44,273,143,64639.09
CUST-ACT-00093,144,144,827,123,74348.16
CUST-ACT-00094,58,58,944,169,70137.2
CUST-ACT-00095,118,118,475,109,25132.04
CUST-ACT-00096,19,19,322,11,57335.12
CUST-ACT-00097,16,16,709,162,31762.58
CUST-ACT-00098,3,3,36,21,23785.85
CUST-ACT-00099,84,84,374,148,51518.19
CUST-ACT-00100,8,8,865,74,53263.1
CUST-ACT-00101,13,13,415,140,70668.34
CUST-ACT-00102,115,115,170,11,43264.9
CUST-ACT-00103,68,68,127,37,57078.36
CUST-ACT-00104,73,73,873,24,35877.42
