shipment_id,route_id,carrier_id,scan_timestamp,delay_minutes,trnx_amt,flag_cascading_delay
SHP-001,RT-MUM-DEL-04,CAR-DTDC-01,2025-01-15 08:00,15,150.00,0
SHP-001,RT-MUM-DEL-04,CAR-DTDC-01,2025-01-15 08:00,15,150.00,0
SHP-002,RT-BLR-HYD-02,CAR-BLUE-01,2025-01-15 09:30,45,250.00,1
SHP-003,RT-MUM-DEL-04,CAR-DTDC-01,2025-01-15 10:00,,175.00,1
SHP-003,RT-MUM-DEL-04,CAR-DTDC-01,2025-01-15 10:00,30,175.00,1
SHP-004,RT-MUM-DEL-04,CAR-DTDC-02,2025-01-15 11:30,30,,0
SHP-004,RT-MUM-DEL-04,CAR-DTDC-02,2025-01-15 11:30,30,300.00,0
SHP-005,RT-BLR-HYD-02,CAR-BLUE-01,2025-01-15 13:00,0,200.00,0
SHP-006,RT-MUM-DEL-04,CAR-DTDC-01,2025-01-15 14:00,60,320.00,1
SHP-007,RT-MUM-BOM-01,CAR-DTDC-02,2025-01-15 15:30,20,125.00,0
SHP-007,RT-MUM-BOM-01,CAR-DTDC-02,2025-01-15 15:30,20,125.00,0
