shipment_id,carrier_id,delay_minutes,route_id,scan_timestamp,trnx_amt
SHP-001,CAR-DTDC-01,15,RT-MUM-DEL-04,2025-01-15 08:00,150.00
SHP-002,,45,RT-MUM-DEL-04,2025-01-15 09:30,250.00
SHP-003,CAR-DTDC-01,,RT-BLR-HYD-02,2025-01-15 10:00,175.00
SHP-004,CAR-DTDC-02,30,,2025-01-15 11:30,300.00
SHP-005,CAR-BLUE-01,0,RT-MUM-DEL-04,,200.00
SHP-006,CAR-DTDC-01,60,RT-MUM-DEL-04,2025-01-15 14:00,
,CAR-DTDC-02,20,RT-BLR-HYD-02,2025-01-15 15:00,125.00
SHP-008,,90,RT-MUM-DEL-04,2025-01-15 16:30,350.00
SHP-009,CAR-BLUE-01,0,RT-MUM-BOM-01,,180.00
SHP-010,CAR-DTDC-01,45,RT-MUM-DEL-04,2025-01-15 18:00,220.00
