customer_id,customer_name,region,segment
CUST-JOIN-7501,Freight Account 7501,Asia Pacific,SMB
CUST-JOIN-7502,Freight Account 7502,Europe,Startup
CUST-JOIN-7503,Freight Account 7503,North America,Startup
CUST-JOIN-7504,Freight Account 7504,Asia Pacific,SMB
CUST-JOIN-7505,Freight Account 7505,Europe,SMB
CUST-JOIN-7506,Freight Account 7506,Asia Pacific,SMB
CUST-JOIN-7507,Freight Account 7507,Asia Pacific,SMB
CUST-JOIN-7508,Freight Account 7508,North America,SMB
CUST-JOIN-7509,Freight Account 7509,North America,Startup
CUST-JOIN-7510,Freight Account 7510,Asia Pacific,Enterprise
CUST-JOIN-7511,Freight Account 7511,North America,Startup
CUST-JOIN-7512,Freight Account 7512,North America,SMB
CUST-JOIN-7513,Freight Account 7513,North America,Startup
CUST-JOIN-7514,Freight Account 7514,Europe,SMB
CUST-JOIN-7515,Freight Account 7515,Asia Pacific,SMB
CUST-JOIN-7516,Freight Account 7516,Europe,Startup
CUST-JOIN-7517,Freight Account 7517,North America,SMB
CUST-JOIN-7518,Freight Account 7518,North America,Startup
CUST-JOIN-7519,Freight Account 7519,Asia Pacific,SMB
CUST-JOIN-7520,Freight Account 7520,North America,Startup
CUST-JOIN-7521,Freight Account 7521,Asia Pacific,Startup
CUST-JOIN-7522,Freight Account 7522,North America,SMB
CUST-JOIN-7523,Freight Account 7523,North America,Startup
CUST-JOIN-7524,Freight Account 7524,Asia Pacific,Startup
CUST-JOIN-7525,Freight Account 7525,North America,Enterprise
CUST-JOIN-7526,Freight Account 7526,North America,SMB
CUST-JOIN-7527,Freight Account 7527,North America,Startup
CUST-JOIN-7528,Freight Account 7528,Europe,SMB
CUST-JOIN-7529,Freight Account 7529,North America,Startup
CUST-JOIN-7530,Freight Account 7530,Asia Pacific,Startup
CUST-JOIN-7531,Freight Account 7531,North America,Enterprise
CUST-JOIN-7532,Freight Account 7532,Europe,Startup
CUST-JOIN-7533,Freight Account 7533,Europe,Startup
CUST-JOIN-7534,Freight Account 7534,North America,Startup
CUST-JOIN-7535,Freight Account 7535,North America,Enterprise
CUST-JOIN-7536,Freight Account 7536,North America,Startup
CUST-JOIN-7537,Freight Account 7537,Europe,SMB
CUST-JOIN-7538,Freight Account 7538,North America,Startup
CUST-JOIN-7539,Freight Account 7539,North America,SMB
CUST-JOIN-7540,Freight Account 7540,Europe,Startup
CUST-JOIN-7541,Freight Account 7541,Asia Pacific,Startup
CUST-JOIN-7542,Freight Account 7542,North America,SMB
CUST-JOIN-7543,Freight Account 7543,North America,Startup
CUST-JOIN-7544,Freight Account 7544,North America,SMB
CUST-JOIN-7545,Freight Account 7545,North America,Startup
CUST-JOIN-7546,Freight Account 7546,Europe,Startup
CUST-JOIN-7547,Freight Account 7547,Asia Pacific,SMB
CUST-JOIN-7548,Freight Account 7548,Asia Pacific,SMB
CUST-JOIN-7549,Freight Account 7549,Europe,SMB
CUST-JOIN-7550,Freight Account 7550,Asia Pacific,Startup
CUST-JOIN-7551,Freight Account 7551,Asia Pacific,SMB
CUST-JOIN-7552,Freight Account 7552,North America,Startup
CUST-JOIN-7553,Freight Account 7553,Europe,SMB
CUST-JOIN-7554,Freight Account 7554,Europe,Startup
CUST-JOIN-7555,Freight Account 7555,Asia Pacific,SMB
CUST-JOIN-7556,Freight Account 7556,North America,Startup
CUST-JOIN-7557,Freight Account 7557,Europe,Startup
CUST-JOIN-7558,Freight Account 7558,Europe,Startup
CUST-JOIN-7559,Freight Account 7559,Europe,SMB
CUST-JOIN-7560,Freight Account 7560,Asia Pacific,SMB
CUST-JOIN-7561,Freight Account 7561,Europe,SMB
CUST-JOIN-7562,Freight Account 7562,Europe,Startup
CUST-JOIN-7563,Freight Account 7563,Europe,Startup
CUST-JOIN-7564,Freight Account 7564,North America,Startup
CUST-JOIN-7565,Freight Account 7565,North America,Startup
CUST-JOIN-7566,Freight Account 7566,North America,Startup
CUST-JOIN-7567,Freight Account 7567,Europe,Startup
CUST-JOIN-7568,Freight Account 7568,Europe,Enterprise
CUST-JOIN-7569,Freight Account 7569,North America,Startup
CUST-JOIN-7570,Freight Account 7570,Europe,Startup
CUST-JOIN-7571,Freight Account 7571,North America,Startup
CUST-JOIN-7572,Freight Account 7572,North America,SMB
CUST-JOIN-7573,Freight Account 7573,North America,SMB
CUST-JOIN-7574,Freight Account 7574,Europe,SMB
CUST-JOIN-7575,Freight Account 7575,North America,Startup
CUST-JOIN-7576,Freight Account 7576,Europe,Startup
CUST-JOIN-7577,Freight Account 7577,North America,SMB
CUST-JOIN-7578,Freight Account 7578,Europe,Startup
CUST-JOIN-7579,Freight Account 7579,Asia Pacific,SMB
CUST-JOIN-7580,Freight Account 7580,Asia Pacific,Startup
CUST-JOIN-7581,Freight Account 7581,Asia Pacific,SMB
CUST-JOIN-7582,Freight Account 7582,Europe,Startup
CUST-JOIN-7583,Freight Account 7583,Asia Pacific,SMB
CUST-JOIN-7584,Freight Account 7584,Asia Pacific,SMB
CUST-JOIN-7585,Freight Account 7585,North America,Startup
CUST-JOIN-7586,Freight Account 7586,North America,Startup
CUST-JOIN-7587,Freight Account 7587,Europe,SMB
CUST-JOIN-7588,Freight Account 7588,Asia Pacific,SMB
CUST-JOIN-7589,Freight Account 7589,North America,SMB
CUST-JOIN-7590,Freight Account 7590,Asia Pacific,Enterprise
CUST-JOIN-7591,Freight Account 7591,Europe,Startup
CUST-JOIN-7592,Freight Account 7592,Asia Pacific,SMB
CUST-JOIN-7593,Freight Account 7593,Europe,Enterprise
CUST-JOIN-7594,Freight Account 7594,North America,Enterprise
CUST-JOIN-7595,Freight Account 7595,Asia Pacific,SMB
CUST-JOIN-7596,Freight Account 7596,North America,SMB
CUST-JOIN-7597,Freight Account 7597,Europe,Startup
CUST-JOIN-7598,Freight Account 7598,Europe,Startup
CUST-JOIN-7599,Freight Account 7599,North America,Startup
CUST-JOIN-7600,Freight Account 7600,Europe,Startup
CUST-JOIN-7601,Freight Account 7601,Asia Pacific,Startup
CUST-JOIN-7602,Freight Account 7602,Asia Pacific,Startup
CUST-JOIN-7603,Freight Account 7603,Asia Pacific,SMB
CUST-JOIN-7604,Freight Account 7604,Europe,SMB
CUST-JOIN-7605,Freight Account 7605,Asia Pacific,SMB
CUST-JOIN-7606,Freight Account 7606,Europe,Startup
CUST-JOIN-7607,Freight Account 7607,Asia Pacific,Startup
CUST-JOIN-7608,Freight Account 7608,North America,Startup
CUST-JOIN-7609,Freight Account 7609,North America,Startup
CUST-JOIN-7610,Freight Account 7610,North America,Startup
CUST-JOIN-7611,Freight Account 7611,North America,Enterprise
CUST-JOIN-7612,Freight Account 7612,North America,Startup
CUST-JOIN-7613,Freight Account 7613,Europe,SMB
CUST-JOIN-7614,Freight Account 7614,North America,Startup
CUST-JOIN-7615,Freight Account 7615,Europe,Startup
CUST-JOIN-7616,Freight Account 7616,Europe,Enterprise
CUST-JOIN-7617,Freight Account 7617,Asia Pacific,Startup
CUST-JOIN-7618,Freight Account 7618,Asia Pacific,SMB
CUST-JOIN-7619,Freight Account 7619,North America,Enterprise
CUST-JOIN-7620,Freight Account 7620,Europe,SMB
CUST-JOIN-7621,Freight Account 7621,North America,Enterprise
CUST-JOIN-7622,Freight Account 7622,North America,Startup
CUST-JOIN-7623,Freight Account 7623,Europe,SMB
