order_id,customer_id,order_date,amount
ORD-004951,CUST-9999,2025-01-25,443.18
ORD-004952,CUST-9999,2025-01-25,323.86
ORD-004953,CUST-9999,2025-01-25,148.41
ORD-004954,CUST-9999,2025-01-20,24.61
ORD-004955,CUST-9999,2025-01-20,181.67
ORD-004956,CUST-9999,2025-01-25,439.67
ORD-004957,CUST-9999,2025-01-20,266.43
ORD-004958,CUST-9999,2025-01-15,385.09
ORD-004959,CUST-9999,2025-01-15,447.21
ORD-004960,CUST-9999,2025-01-10,434.59
ORD-004961,CUST-9999,2025-01-15,271.91
ORD-004962,CUST-9999,2025-01-25,417.05
ORD-004963,CUST-9999,2025-01-25,389.94
ORD-004964,CUST-9999,2025-01-25,133.51
ORD-004965,CUST-9999,2025-01-20,112.3
ORD-004966,CUST-9999,2025-01-15,137.75
ORD-004967,CUST-9999,2025-01-10,97.1
ORD-004968,CUST-9999,2025-01-15,64.25
ORD-004969,CUST-9999,2025-01-20,51.39
ORD-004970,CUST-9999,2025-01-10,88.54
ORD-004971,CUST-9999,2025-01-20,431.79
ORD-004972,CUST-9999,2025-01-10,175.44
ORD-004973,CUST-9999,2025-01-20,245.69
ORD-004974,CUST-9999,2025-01-20,235.81
ORD-004975,CUST-9999,2025-01-20,229.52
ORD-004976,CUST-9999,2025-01-20,331.88
ORD-004977,CUST-9999,2025-01-10,202.91
ORD-004978,CUST-9999,2025-01-10,103.54
ORD-004979,CUST-9999,2025-01-15,275.72
ORD-004980,CUST-9999,2025-01-25,458.33
ORD-004981,CUST-9999,2025-01-10,430.36
ORD-004982,CUST-9999,2025-01-15,148.32
ORD-004983,CUST-9999,2025-01-15,318.82
ORD-004984,CUST-9999,2025-01-15,56.22
ORD-004985,CUST-9999,2025-01-15,246.13
ORD-004986,CUST-9999,2025-01-10,177.74
ORD-004987,CUST-9999,2025-01-25,441.15
ORD-004988,CUST-9999,2025-01-10,101.94
ORD-004989,CUST-9999,2025-01-20,136.14
ORD-004990,CUST-9999,2025-01-20,74.9
ORD-004991,CUST-9999,2025-01-15,182.66
ORD-004992,CUST-9999,2025-01-10,213.83
ORD-004993,CUST-9999,2025-01-25,89.5
ORD-004994,CUST-9999,2025-01-10,446.26
ORD-004995,CUST-9999,2025-01-25,135.91
ORD-004996,CUST-9999,2025-01-15,361.66
ORD-004997,CUST-9999,2025-01-20,87.03
ORD-004998,CUST-9999,2025-01-15,362.49
ORD-004999,CUST-9999,2025-01-25,326.86
ORD-005000,CUST-9999,2025-01-20,265.54
