event_id,shipment_id,origin_hub,current_facility,destination_hub,event_timestamp,scan_type,actual_dwell,average_dwell,yard_queue_count,yard_max_capacity,weather_condition,traffic_congestion_level,gps_latitude,gps_longitude,sla_deadline_timestamp,carrier_id
EV-2001,LGS-8842-XT9,HUB-CHICAGO,HUB-CHICAGO,DEST-SINGAPORE,2026-08-04T08:00:00.000Z,HUB_INGEST,3600,3000,12,15,MODERATE,HEAVY,41.8781,-87.6298,2026-08-05T12:00:00.000Z,CR-FEDEX
EV-2002,LGS-8842-XT9,HUB-CHICAGO,HUB-CHICAGO,DEST-SINGAPORE,2026-08-04T08:00:04.000Z,HUB_INGEST,3600,3000,12,15,MODERATE,HEAVY,41.8781,-87.6298,2026-08-05T12:00:00.000Z,CR-FEDEX
EV-2003,LGS-8842-XT9,HUB-CHICAGO,HUB-DETROIT,DEST-SINGAPORE,2026-08-04T10:30:00.000Z,WAYPOINT_SCAN,7200,3600,11,15,CLEAR,HEAVY,42.3314,-83.0458,2026-08-05T12:00:00.000Z,CR-FEDEX
EV-2004,SH-7777,HUB-DETROIT,HUB-DETROIT,HUB-FRANKFURT,2026-08-04 09:15:00,HUB_INGEST,4500,3600,11,15,,LOW,42.3314,-83.0458,2026-08-06T18:00:00.000Z,CR-DHL
EV-2005,SH-7777,HUB-DETROIT,HUB-FRANKFURT,HUB-FRANKFURT,2026-08-04T12:00:00.000Z,TRANSFER_ARRIVE,1800,2400,8,15,CLEAR,LOW,50.1109,8.6821,2026-08-06T18:00:00.000Z,CR-DHL
EV-2006,LGS-9012-HQ3,HUB-HOUSTON,HUB-HOUSTON,HUB-CHICAGO,2026-08-04T07:00:00.000Z,HUB_INGEST,-500,3600,10,15,CLEAR,MODERATE,98.4521,0.0000,2026-08-05T15:00:00.000Z,CR-UPS
EV-2007,LGS-9012-HQ3,HUB-HOUSTON,HUB-HOUSTON,HUB-CHICAGO,2026-08-04T07:00:03.000Z,HUB_INGEST,-500,3600,10,15,,MODERATE,98.4521,0.0000,2026-08-05T15:00:00.000Z,CR-UPS
EV-2008,LGS-4411-WH2,HUB-SEATTLE,HUB-SEATTLE,HUB-MEMPHIS,2026-08-04T06:45:00.000Z,HUB_INGEST,3600,3600,5,15,CLEAR,LOW,47.6062,-122.3321,2026-08-06T09:00:00.000Z,CR-USPS
EV-2009,LGS-4411-WH2,HUB-SEATTLE,HUB-MEMPHIS,HUB-MEMPHIS,2026-08-04 11:15:00,WAYPOINT_SCAN,2800,2400,7,15,CLEAR,MODERATE,35.1495,-90.0490,2026-08-06T09:00:00.000Z,CR-USPS
EV-2010,LGS-5522-NY1,HUB-NEWYORK,HUB-NEWYORK,HUB-MIAMI,2026-08-04T08:30:00.000Z,HUB_INGEST,10800,3600,14,15,HEAVY_RAIN,HEAVY,40.7128,-74.0060,2026-08-05T20:00:00.000Z,CR-MAERSK
EV-2011,LGS-5522-NY1,HUB-NEWYORK,HUB-NEWYORK,HUB-MIAMI,2026-08-04T08:30:05.000Z,HUB_INGEST,10800,3600,14,15,HEAVY_RAIN,HEAVY,40.7128,-74.0060,2026-08-05T20:00:00.000Z,CR-MAERSK
EV-2012,LGS-3319-LAX,HUB-LOSANGELES,HUB-LOSANGELES,HUB-CHICAGO,2026-08-04T09:00:00.000Z,HUB_INGEST,3600,3600,6,15,CLEAR,LOW,34.0522,-118.2437,2026-08-06T14:00:00.000Z,CR-FEDEX
EV-2013,LGS-3319-LAX,HUB-LOSANGELES,HUB-HOUSTON,HUB-CHICAGO,2026-08-04T13:30:00.000Z,WAYPOINT_SCAN,4200,3600,10,15,,MODERATE,29.7604,-95.3698,2026-08-06T14:00:00.000Z,CR-FEDEX
EV-2014,LGS-7788-ATL,HUB-ATLANTA,HUB-ATLANTA,HUB-NEWYORK,2026-08-04T10:00:00.000Z,HUB_INGEST,3100,3600,9,15,CLEAR,LOW,33.7490,-84.3880,2026-08-05T18:00:00.000Z,CR-UPS
EV-2015,LGS-7788-ATL,HUB-ATLANTA,HUB-ATLANTA,HUB-NEWYORK,2026-08-04T10:00:02.000Z,HUB_INGEST,3100,3600,9,15,CLEAR,LOW,33.7490,-84.3880,2026-08-05T18:00:00.000Z,CR-UPS
EV-2016,LGS-9900-ORD,HUB-CHICAGO,HUB-CHICAGO,HUB-SEATTLE,2026-08-04T11:00:00.000Z,HUB_INGEST,5400,3600,13,15,CLEAR,HEAVY,-102.5000,0.0000,2026-08-06T10:00:00.000Z,CR-DHL
EV-2017,LGS-1122-MIA,HUB-MIAMI,HUB-MIAMI,HUB-ATLANTA,2026-08-04T14:00:00.000Z,HUB_INGEST,-200,3600,8,15,,LOW,25.7617,-80.1918,2026-08-06T12:00:00.000Z,CR-FEDEX
EV-2018,LGS-1122-MIA,HUB-MIAMI,HUB-MIAMI,HUB-ATLANTA,2026-08-04T14:00:01.000Z,HUB_INGEST,-200,3600,8,15,CLEAR,LOW,25.7617,-80.1918,2026-08-06T12:00:00.000Z,CR-FEDEX
